Day,Total Energy Produced (kWh),Total Duration (hours)
2022-03-30,1779.5511666666664,13.166666666666666
2022-03-31,1198.0631666666666,13.166666666666666
2022-04-01,1518.4718333333335,13.333333333333334
2022-04-02,980.5618333333333,13.333333333333334
2022-04-03,2051.5895,13.333333333333334
2022-04-04,1070.4385,13.333333333333334
2022-04-05,3199.5176666666666,13.333333333333334
2022-04-06,1737.3346666666669,13.5
2022-04-07,2117.4426666666664,13.5
2022-04-08,3257.3723333333332,13.5
2022-04-09,931.4496666666665,13.5
2022-04-10,2930.783,13.5
2022-04-11,2709.2445000000007,13.166666666666666
2022-04-12,3226.8026666666665,13.5
2022-04-13,2907.3789999999995,13.166666666666666
2022-04-14,1810.5856666666666,13.5
2022-04-15,4352.637333333333,13.5
2022-04-16,4237.1213333333335,13.666666666666666
2022-04-17,4277.927166666666,13.666666666666666
2022-04-18,3747.247166666666,13.666666666666666
2022-04-19,3908.686833333333,13.666666666666666
2022-04-20,1824.030166666667,13.666666666666666
2022-04-21,4641.0165,13.833333333333334
2022-04-22,2054.8998333333334,13.833333333333334
2022-04-23,2895.870166666666,13.833333333333334
2022-04-24,3783.669,13.833333333333334
2022-04-25,4140.541333333333,13.833333333333334
2022-04-26,3903.9474999999998,13.833333333333334
2022-04-27,4091.6046666666666,14.0
2022-04-28,4013.552333333333,14.0
2022-04-29,3808.3818333333325,14.0
2022-04-30,1227.9816666666666,13.833333333333334
2022-05-01,3971.3775,14.0
2022-05-02,1156.5869999999998,14.0
2022-05-03,2813.1433333333334,14.0
2022-05-04,4231.315333333332,14.0
2022-05-05,4827.189833333334,14.0
2022-05-06,4112.551833333334,14.0
2022-05-07,2639.7863333333325,14.0
2022-05-08,4464.027,14.0
2022-05-09,4191.942833333333,14.0
2022-05-10,2667.72,14.333333333333334
2022-05-11,3492.6948333333335,14.333333333333334
2022-05-12,3616.466,14.333333333333334
2022-05-13,1257.2023333333334,14.333333333333334
2022-05-14,1427.0273333333332,14.166666666666666
2022-05-15,1432.631,14.0
2022-05-16,1407.4929999999997,14.166666666666666
2022-05-17,1389.2669999999998,14.333333333333334
2022-05-18,3730.7254999999986,14.333333333333334
2022-05-19,2180.7571666666663,14.333333333333334
2022-05-20,2922.281166666666,14.333333333333334
2022-05-21,2940.592166666666,14.166666666666666
2022-05-22,3813.681833333333,14.333333333333334
2022-05-23,3371.5944999999992,14.333333333333334
2022-05-24,4063.0195,14.333333333333334
2022-05-25,1265.8171666666665,14.333333333333334
2022-05-26,4234.1205,14.333333333333334
2022-05-27,3426.5799999999995,14.333333333333334
2022-05-28,4403.163166666666,14.333333333333334
2022-05-29,4051.6504999999993,14.5
2022-05-30,3356.4048333333335,14.5
2022-05-31,2512.7568333333334,14.5
2022-06-01,3139.718666666667,14.5
2022-06-02,3161.6216666666664,14.5
2022-06-03,1829.8838333333333,14.5
2022-06-04,2617.062999999999,14.5
2022-06-05,1710.9161666666666,14.5
2022-06-06,2056.3165,14.666666666666666
2022-06-07,2723.2211666666662,14.666666666666666
2022-06-08,2543.1293333333333,14.666666666666666
2022-06-09,1378.404,14.666666666666666
2022-06-10,2508.4855,14.666666666666666
2022-06-11,3145.9869999999996,14.666666666666666
2022-06-12,1388.7901666666664,14.333333333333334
2022-06-13,1271.495333333333,13.833333333333334
2022-06-14,736.9636666666665,14.5
2022-06-15,845.1421666666665,14.333333333333334
2022-06-16,368.15383333333335,14.166666666666666
2022-06-17,972.0784999999998,14.5
2022-06-18,1307.970833333333,14.5
2022-06-19,2117.177166666666,14.0
2022-06-20,2661.5608333333334,14.5
2022-06-21,2742.8715,14.5
2022-06-22,2889.062999999999,14.5
2022-06-23,3503.2938333333336,14.5
2022-06-24,3371.423999999999,14.5
2022-06-25,3360.671833333334,14.5
2022-06-26,2805.7821666666664,14.5
2022-06-27,1932.8661666666665,14.5
2022-06-28,1574.686333333333,14.5
2022-06-29,1035.7358333333332,14.666666666666666
2022-06-30,3032.8708333333334,14.666666666666666
2022-07-01,3076.5778333333333,14.666666666666666
2022-07-02,3522.2619999999997,14.666666666666666
2022-07-03,2241.1988333333334,14.666666666666666
2022-07-04,3480.8858333333337,14.666666666666666
2022-07-05,3055.420666666666,14.666666666666666
2022-07-06,1998.1905000000002,14.666666666666666
2022-07-07,3967.6818333333335,14.5
2022-07-08,2658.9120000000003,14.5
2022-07-09,3337.484999999999,14.5
2022-07-10,2788.3514999999998,14.5
2022-07-11,3228.073833333333,14.5
2022-07-12,3414.0841666666665,14.5
2022-07-13,3633.487,14.5
